index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,,0,unknown,0,-128;-107;-121;100,,,,21.496,1,1,
1,no_256c0a05_nohash_0,no,,0,no,0,-128;-127;-128;126,,,,21.383,1,1,
126,_background_noise__running_tap,silence,silence,1,silence,1,121;-125;-125;-126,0.9704;0.0117;0.0097;0.0075,0.1150,23.688,21.416,0,0,"[IRQ] Class: 0 scores=0.9704,0.0117,0.0097,0.0075"
127,no_29229c21_nohash_3,no,no,1,no,1,-127;-101;-126;98,0.0026;0.1066;0.009;0.8811,0.1325,24.194,21.411,0,0,"[IRQ] Class: 3 scores=0.0026,0.1066,0.0090,0.8811"
128,go_274c008f_nohash_0,unknown,unknown,1,unknown,1,-126;-2;-126;-2,0.0078;0.4912;0.0092;0.4912,0.0850,23.928,21.392,0,0,"[IRQ] Class: 1 scores=0.0078,0.4912,0.0092,0.4912"
129,no_712e4d58_nohash_0,no,no,1,no,1,-128;-128;-128;127,0;0.0012;0;0.9985,0.0900,23.957,21.422,0,0,"[IRQ] Class: 3 scores=0.0000,0.0012,0.0000,0.9985"
130,go_1365dd89_nohash_0,no,no,1,unknown,0,-128;-87;-127;86,0.0004;0.1599;0.0051;0.8339,0.0975,24.050,21.408,0,0,"[IRQ] Class: 3 scores=0.0004,0.1599,0.0051,0.8339"
131,no_b65f6015_nohash_0,no,no,1,no,1,-128;-125;-128;125,0;0.0109;0.0002;0.9882,0.0275,23.826,21.413,0,0,"[IRQ] Class: 3 scores=0.0000,0.0109,0.0002,0.9882"
132,yes_e91d173e_nohash_1,yes,yes,1,yes,1,-128;-125;124;-128,0;0.0131;0.9855;0.0007,0.0800,24.264,21.411,0,0,"[IRQ] Class: 2 scores=0.0000,0.0131,0.9855,0.0007"
133,no_499be02e_nohash_4,no,no,1,no,1,-128;-114;-114;99,0;0.0563;0.0563;0.8869,0.0850,23.723,21.389,0,0,"[IRQ] Class: 3 scores=0.0000,0.0563,0.0563,0.8869"
134,no_bde0f20a_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;0.0068;0;0.9929,0.0425,24.455,21.447,0,0,"[IRQ] Class: 3 scores=0.0000,0.0068,0.0000,0.9929"
135,go_e6be0830_nohash_4,no,no,1,unknown,0,-128;-68;-128;68,0;0.2326;0.0002;0.7668,0.0800,23.798,21.419,0,0,"[IRQ] Class: 3 scores=0.0000,0.2326,0.0002,0.7668"
136,go_0e5193e6_nohash_0,unknown,unknown,1,unknown,1,-126;32;-127;-36,0.009;0.6254;0.0043;0.3605,0.0775,23.997,21.391,0,0,"[IRQ] Class: 1 scores=0.0090,0.6254,0.0043,0.3605"
137,_background_noise__exercise_bike,silence,silence,1,silence,1,80;-107;-126;-103,0.8112;0.0817;0.0083;0.0983,0.0675,24.173,21.466,0,0,"[IRQ] Class: 0 scores=0.8112,0.0817,0.0083,0.0983"
138,yes_73f20b00_nohash_3,yes,yes,1,yes,1,-128;-126;125;-128,0;0.0083;0.9897;0.0014,0.0825,23.934,21.416,0,0,"[IRQ] Class: 2 scores=0.0000,0.0083,0.9897,0.0014"
139,_background_noise__dude_miaowing,silence,silence,1,silence,1,116;-121;-124;-127,0.9536;0.029;0.0139;0.0031,0.1175,24.124,21.511,0,0,"[IRQ] Class: 0 scores=0.9536,0.0290,0.0139,0.0031"
140,go_5677ec77_nohash_0,no,no,1,unknown,0,-128;-118;-127;118,0;0.0385;0.0019;0.9592,0.1075,24.163,21.416,0,0,"[IRQ] Class: 3 scores=0.0000,0.0385,0.0019,0.9592"
141,go_24befdb3_nohash_3,no,no,1,unknown,0,-128;-100;-128;100,0;0.1081;0;0.8916,0.0575,24.122,21.429,0,0,"[IRQ] Class: 3 scores=0.0000,0.1081,0.0000,0.8916"
142,go_b0ae6326_nohash_2,no,no,1,unknown,0,-128;-121;-128;121,0;0.0268;0;0.9726,0.0150,23.891,21.399,0,0,"[IRQ] Class: 3 scores=0.0000,0.0268,0.0000,0.9726"
143,go_31270cb2_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,0;0.1269;0.0007;0.8718,0.0850,23.792,21.409,0,0,"[IRQ] Class: 3 scores=0.0000,0.1269,0.0007,0.8718"
144,yes_8d9cc260_nohash_0,yes,yes,1,yes,1,-128;-127;126;-128,0;0.0051;0.9938;0.0004,0.0800,24.195,21.390,0,0,"[IRQ] Class: 2 scores=0.0000,0.0051,0.9938,0.0004"
145,go_617de221_nohash_4,no,no,1,unknown,0,-128;-60;-128;60,0;0.2668;0;0.7326,0.0750,23.937,21.421,0,0,"[IRQ] Class: 3 scores=0.0000,0.2668,0.0000,0.7326"
146,yes_cd85758f_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0007;0.9987;0,0.0825,23.890,21.399,0,0,"[IRQ] Class: 2 scores=0.0000,0.0007,0.9987,0.0000"
147,no_b176f8e9_nohash_0,unknown,unknown,1,no,0,-127;43;-101;-71,0.0024;0.6684;0.1066;0.2221,0.0900,24.298,21.415,0,0,"[IRQ] Class: 1 scores=0.0024,0.6684,0.1066,0.2221"
148,go_8931f494_nohash_1,no,no,1,unknown,0,-128;-45;-127;45,0;0.3234;0.0019;0.674,0.1150,23.720,21.370,0,0,"[IRQ] Class: 3 scores=0.0000,0.3234,0.0019,0.6740"
149,go_4c3cddb8_nohash_4,no,no,1,unknown,0,-128;-119;-128;118,0;0.0354;0.0014;0.9624,0.0775,17.334,28.424,0,0,"[IRQ] Class: 3 scores=0.0000,0.0354,0.0014,0.9624"
150,no_8012c69d_nohash_1,no,no,1,no,1,-128;-119;-128;119,0;0.0354;0;0.9641,0.0225,17.818,27.799,0,0,"[IRQ] Class: 3 scores=0.0000,0.0354,0.0000,0.9641"
151,yes_bfd26d6b_nohash_4,yes,yes,1,yes,1,-128;-126;126;-128,0;0.0061;0.9934;0,0.0725,18.176,26.986,0,0,"[IRQ] Class: 2 scores=0.0000,0.0061,0.9934,0.0000"
152,go_7f581e94_nohash_0,unknown,unknown,1,unknown,1,-128;40;-128;-40,0.0002;0.6542;0.0004;0.3442,0.0750,23.801,21.383,0,0,"[IRQ] Class: 1 scores=0.0002,0.6542,0.0004,0.3442"
153,yes_a9ca1818_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0002;0.9995;0,0.0900,24.222,21.403,0,0,"[IRQ] Class: 2 scores=0.0000,0.0002,0.9995,0.0000"
154,no_7211390b_nohash_3,no,no,1,no,1,-128;-87;-128;87,0;0.1606;0.0007;0.8381,0.0700,23.851,21.426,0,0,"[IRQ] Class: 3 scores=0.0000,0.1606,0.0007,0.8381"
155,yes_bdd22e4d_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9987;0.0007,0.0825,23.964,21.420,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9987,0.0007"
